c_country,pushes,population,ratio_pushes
Hungary,428786,9982000,42.95592065718293
Estonia,36515,1291170,28.280551747639738
Switzerland,53652,7581000,7.0771666007123075
Norway,29659,5009150,5.920964634718465
New Zealand,24077,4252277,5.662142894265825
United States,1709062,310232863,5.508965051197687
Luxembourg,2693,497538,5.412651897945484
Sweden,51584,9555893,5.398134951908733
Iceland,1645,308910,5.325175617493769
United Kingdom,304752,62348447,4.887884376654963
Denmark,24939,5484000,4.547592997811816
Netherlands,75198,16645000,4.517753079002704
Canada,143815,33679000,4.270168354167286
Finland,22097,5244000,4.213768115942029
Australia,90174,21515754,4.191068553767625
Germany,319787,81802257,3.9092686647997987
Ireland,14956,4622917,3.2351867879090195
Belgium,32486,10403000,3.1227530520042297
Austria,24734,8205000,3.014503351614869
Greece,30541,11000000,2.7764545454545453
Czech Republic,25370,10476000,2.421725849560901
Latvia,5216,2217969,2.3517010382020667
France,151529,64768389,2.3395517835096995
Slovenia,4331,2007000,2.1579471848530143
Israel,14189,7353985,1.9294300981032733
Taiwan,35856,22894384,1.566148274616168
Jordan,9543,6407085,1.4894448879638713
Bulgaria,10555,7148785,1.4764746736683227
Portugal,15709,10676000,1.471431247658299
Lithuania,4209,2944459,1.4294646317031414
Spain,60553,46505963,1.3020480835973658
Croatia,5795,4491000,1.2903584947673123
Belarus,11583,9685000,1.1959731543624161
Costa Rica,5340,4516220,1.1824047544185181
Poland,44280,38500000,1.1501298701298701
Ukraine,51811,45415596,1.1408195545864905
Slovakia,4938,5455000,0.905224564619615
Bahamas,263,301790,0.8714669140793266
Japan,108934,127288000,0.8558073031236252
Italy,46350,60340328,0.7681429905385997
Russia,101331,140702000,0.7201816605307672
Uruguay,2475,3477000,0.7118205349439172
United Arab Emirates,3313,4975593,0.6658502815644286
Serbia,4817,7344847,0.6558339472558108
Romania,13462,21959278,0.6130438350477643
Argentina,22286,41343201,0.5390487301648462
Brazil,104802,201103330,0.5211350801600352
South Korea,24823,48422644,0.5126320652792111
Cyprus,538,1102677,0.4879035293200094
Chile,8133,16746491,0.4856539796904319
Macedonia,795,2062294,0.3854930480329187
Namibia,748,2128471,0.35142597667527536
Colombia,16109,47790000,0.3370788867964009
Armenia,977,2968000,0.32917789757412397
Montenegro,207,666730,0.3104705053019963
Moldova,1330,4324000,0.3075855689176688
Maldives,108,395650,0.27296853279413624
Trinidad and Tobago,326,1228691,0.26532301449265927
South Africa,12318,49000000,0.2513877551020408
Mexico,27956,112468855,0.2485665920578635
Malaysia,7006,28274729,0.24778309988399888
Sri Lanka,5241,21513990,0.243608926098785
Jamaica,673,2847232,0.23636991997842113
Bosnia and Herzegovina,1073,4590000,0.23376906318082788
Panama,778,3410676,0.22810727257587646
Malta,91,403000,0.22580645161290322
Botswana,439,2029307,0.21633000822448253
Venezuela,5851,27223228,0.214926752991967
Turkey,16454,77804122,0.21147979794695196
Georgia,906,4630000,0.19568034557235423
China,250708,1330044000,0.18849601968055194
Swaziland,254,1354051,0.18758525343580115
Ecuador,2701,14790608,0.18261588705481208
Vietnam,15855,89571130,0.17701015941185513
Lebanon,584,4125247,0.14156728069858604
Qatar,117,840926,0.13913233744705242
El Salvador,797,6052064,0.13169061001337726
Thailand,8678,67089500,0.129349600160979
Paraguay,772,6375830,0.12108227477834259
Peru,3563,29907003,0.1191359762795356
Philippines,11640,99900177,0.11651631007620737
Benin,1053,9056010,0.11627637336972906
Suriname,57,492829,0.11565877819689994
Bahrain,84,738004,0.11382052129798755
Bhutan,79,699847,0.11288181559683759
Kazakhstan,1700,15340000,0.11082138200782268
Kyrgyzstan,590,5508626,0.10710474808055584
Guatemala,1449,13550440,0.10693379698371418
Palestinian Territory,389,3800000,0.10236842105263158
Bolivia,999,9947418,0.10042807088231338
Kenya,3974,40046566,0.09923447618454975
India,109823,1173108018,0.0936171250344314
Tunisia,988,10589025,0.09330415217642796
Dominican Republic,910,9823821,0.09263198097766642
Azerbaijan,759,8303512,0.09140710581257666
Nepal,2626,28951852,0.0907023150021629
Brunei,34,395027,0.08607006609674782
Mauritius,104,1294104,0.0803644838436478
Albania,239,2986952,0.08001467716923473
Cuba,850,11423000,0.0744112754968047
Cambodia,1046,14453680,0.07236911291795584
Indonesia,17116,242968342,0.070445391605792
Iran,5271,76923300,0.06852280128387628
Gabon,103,1545255,0.06665566524618914
Nicaragua,396,5995928,0.06604482241948202
Honduras,494,7989415,0.06183181121521413
Egypt,3997,80471869,0.049669531100365025
Laos,316,6368162,0.049621853212905076
Kuwait,129,2789132,0.04625094832370788
Mongolia,133,3086918,0.043085044695064786
Bangladesh,5981,156118464,0.03831065107071512
Senegal,458,12323252,0.03716551442752287
Morocco,1049,31627428,0.033167414055926395
Liberia,117,3685076,0.03174968440270974
Saudi Arabia,741,25731776,0.02879707953310335
Sierra Leone,135,5245695,0.025735388733046812
Cape Verde,13,508659,0.02555739699877521
Ghana,582,24339838,0.023911416337282113
East Timor,27,1154625,0.023384215654433257
Zimbabwe,263,11651858,0.0225715074797513
Cameroon,435,19294149,0.022545695070562585
Libya,145,6461454,0.022440769523392103
Pakistan,4003,184404791,0.021707678950705786
Rwanda,214,11055976,0.019356047806181925
Mauritania,60,3205060,0.018720398370077315
Nigeria,2867,154000000,0.01861688311688312
Syria,408,22198110,0.018379943157322852
Tanzania,757,41892895,0.018069889894217147
Turkmenistan,80,4940916,0.016191329704856348
Belize,5,314522,0.015897139150838416
Uganda,527,33398682,0.015779065772715224
Lesotho,30,1919552,0.01562864668422632
Algeria,523,34586184,0.015121645105455982
Angola,190,13068161,0.014539153596286424
Oman,42,2967717,0.014152292823069046
Solomon Islands,7,559198,0.012517927460398643
South Sudan,92,8260490,0.011137353837363159
Chad,110,10543464,0.010433003802165967
Mozambique,227,22061451,0.010289441070761846
Malawi,156,15447500,0.010098721475966984
North Korea,212,22912177,0.00925272181687493
Uzbekistan,251,27865738,0.009007477210903225
Haiti,83,9648924,0.008601995414203699
Ivory Coast,174,21058798,0.008262579849049314
Republic of the Congo,20,3039126,0.006580839359736977
Iraq,192,29671605,0.006470832973140482
Myanmar,338,53414374,0.0063278847000996395
Guyana,4,748486,0.005344121332930743
Yemen,116,23495361,0.004937144826163769
Madagascar,100,21281844,0.0046988409463014575
Fiji,4,875983,0.0045662986610470755
Tajikistan,32,7487489,0.004273795928114219
Democratic Republic of the Congo,278,70916439,0.003920106591928566
Gambia,6,1593256,0.0037658731553497993
Zambia,50,13460305,0.0037146260801668315
Ethiopia,257,88013491,0.002920006888489402
Burkina Faso,47,16241811,0.0028937659722798152
Afghanistan,76,29121286,0.0026097748567834537
Burundi,25,9863117,0.0025346956748054394
Togo,15,6587239,0.0022771300692141275
Sudan,75,35000000,0.002142857142857143
Somalia,20,10112453,0.001977759501082477
Hong Kong,12,6898686,0.0017394616887911698
Guinea,16,10324025,0.0015497831514356077
Mali,17,13796354,0.0012322096113219479
Niger,13,15878271,8.187289409533318E-4
Central African Republic,1,4844927,2.0640145868038877E-4
Papua New Guinea,1,6064515,1.6489364771956206E-4
